sku,work_center
106020935,25000001
106020936,25000001
106020937,25000001
106020938,25000001
106020939,25000001
106021359,25000001
106021360,25000001
106021361,25000001
106021362,25000001
106021363,25000001
106021364,25000001
106021365,25000001
106021366,25000001
106021367,25000001
106021368,25000001
106021369,25000001
106021370,25000001
106021371,25000001
106021372,25000001
106021373,25000001
106021374,25000001
106021375,25000001
106021376,25000001
106021377,25000001
106021378,25000001
106021379,25000001
106021380,25000001
106021381,25000001
106021382,25000001
106021383,25000001
106021384,25000001
106021385,25000001
106021386,25000001
106021387,25000001
106021388,25000001
106021389,25000001
106021390,25000001
106021391,25000001
106021392,25000001
106021393,25000001
106021394,25000001
106021395,25000001
106021396,25000001
106021397,25000001
106021398,25000001
106021399,25000001
106021400,25000001
106021401,25000001
106021402,25000001
106021403,25000001
106021404,25000001
106021405,25000001
106021406,25000001
106021407,25000001
106021408,25000001
106021409,25000001
106021410,25000001
106021411,25000001
106021412,25000001
106021413,25000001
106021414,25000001
106021415,25000001
106021416,25000001
106021417,25000001
106021418,25000001
106021419,25000001
106021420,25000001
106021421,25000001
106021422,25000001
106021423,25000001
106021424,25000001
106021425,25000001
106021426,25000001
106021427,25000001
106021428,25000001
106021429,25000001
106021430,25000001
106021431,25000001
106021432,25000001
106021433,25000001
106021434,25000001
106021435,25000001
106021436,25000001
106021437,25000001
106021438,25000001
106021439,25000001
106021440,25000001
106021441,25000001
106021442,25000001
106021443,25000001
106021444,25000001
106021445,25000001
106021446,25000001
106021447,25000001
106021448,25000001
106021449,25000001
106021450,25000001
106021451,25000001
106021452,25000001
106021453,25000001
106021454,25000001
106021455,25000001
106021456,25000001
106021457,25000001
106021458,25000001
106021459,25000001
106021460,25000001
106021461,25000001
106021462,25000001
106021463,25000001
106021464,25000001
106021465,25000001
106021466,25000001
106021467,25000001
106021468,25000001
106021469,25000001
106021470,25000001
106021471,25000001
106021472,25000001
106021473,25000001
106021474,25000001
106021475,25000001
106021476,25000001
106021477,25000001
106021478,25000001
106021479,25000001
106021480,25000001
106021481,25000001
106021482,25000001
106021483,25000001
106021484,25000001
106021485,25000001
106021486,25000001
106021487,25000001
106021488,25000001
106021489,25000001
106021490,25000001
106021491,25000001
106021492,25000001
106021493,25000001
106021494,25000001
106021495,25000001
106021496,25000001
106021497,25000001
106021498,25000001
106021499,25000001
106021500,25000001
106021501,25000001
106021502,25000001
106021503,25000001
106021504,25000001
106021505,25000001
106021506,25000001
106021507,25000001
106021508,25000001
106021509,25000001
106021510,25000001
106021511,25000001
106021512,25000001
106021513,25000001
106021514,25000001
106021515,25000001
106021516,25000001
106021517,25000001
106021518,25000001
106021519,25000001
106021520,25000001
106021521,25000001
106021522,25000001
106021523,25000001
106021524,25000001
106021525,25000001
106021526,25000001
106021527,25000001
106021528,25000001
106021529,25000001
106021530,25000001
106021531,25000001
106021532,25000001
106021533,25000001
106021534,25000001
106021535,25000001
106021536,25000001
106021537,25000001
106021538,25000001
106021539,25000001
106021540,25000001
106021541,25000001
106021542,25000001
106021543,25000001
106021544,25000001
106021545,25000001
106021546,25000001
106021547,25000001
106021548,25000001
106021549,25000001
106021550,25000001
106021551,25000001
106021552,25000001
106021553,25000001
106021554,25000001
106021555,25000001
106021556,25000001
106021557,25000001
106021558,25000001
106021559,25000001
106021560,25000001
106021561,25000001
106021562,25000001
106021563,25000001
106021564,25000001
106021565,25000001
106021566,25000001
106021567,25000001
106021568,25000001
106021594,25000001
106021671,25000001
106021674,25000001
106021675,25000001
106021676,25000001
106021677,25000001
106021678,25000001
106021679,25000001
106021680,25000001
106021681,25000001
106021682,25000001
106021683,25000001
106021684,25000001
106021685,25000001
106021686,25000001
106021687,25000001
106021688,25000001
106021689,25000001
106021690,25000001
106021691,25000001
106021692,25000001
106021693,25000001
106021694,25000001
106021695,25000001
106021696,25000001
106021697,25000001
106021698,25000001
106021699,25000001
106021700,25000001
106021701,25000001
106021702,25000001
106021703,25000001
106021704,25000001
106021705,25000001
106021706,25000001
106021707,25000001
106021708,25000001
106021709,25000001
106021710,25000001
106021711,25000001
106021712,25000001
106021713,25000001
106021714,25000001
106021715,25000001
106021716,25000001
106021717,25000001
106021718,25000001
106021719,25000001
106021720,25000001
106021721,25000001
106021722,25000001
106021723,25000001
106021724,25000001
106021725,25000001
106021726,25000001
106021727,25000001
106021728,25000001
106021729,25000001
106021730,25000001
106021731,25000001
106021732,25000001
106021733,25000001
106021734,25000001
106021735,25000001
106021736,25000001
106021737,25000001
106021738,25000001
106021739,25000002
106021740,25000002
106021741,25000002
106021742,25000002
106021743,25000002
106021744,25000002
106021745,25000002
106021746,25000002
106021747,25000002
106021748,25000001
106021749,25000001
106021750,25000001
106021751,25000001
106021752,25000001
106021753,25000001
106021754,25000001
106021755,25000001
106021756,25000001
106021757,25000001
106021758,25000001
106021759,25000001
106021760,25000001
106021761,25000001
106021762,25000001
106021763,25000001
106021764,25000001
106021765,25000001
106021766,25000001
106021767,25000001
106021768,25000001
106021769,25000001
106021770,25000001
106021771,25000001
106021772,25000001
106021773,25000001
106021774,25000001
106021776,25000001
106021777,25000001
106021778,25000001
106021779,25000002
106021780,25000002
106021781,25000002
106021782,25000002
106021783,25000002
106021784,25000002
106021785,25000002
106021786,25000002
106021787,25000002
106021788,25000002
106021789,25000002
106021790,25000002
106021791,25000002
106021792,25000002
106021793,25000002
106021794,25000002
106021795,25000002
106021796,25000002
106021797,25000002
106021798,25000002
106021799,25000002
106021800,25000002
106021801,25000002
106021802,25000002
106021803,25000002
106021804,25000002
106021805,25000002
106021806,25000002
106021807,25000002
106021808,25000002
106021809,25000002
106021810,25000002
106021811,25000002
106021812,25000002
106021813,25000002
106021814,25000002
106021815,25000002
106021816,25000002
106021817,25000002
106021818,25000002
106021819,25000002
106021820,25000002
106021821,25000002
106021822,25000002
106021823,25000002
106021824,25000002
106021825,25000002
106021826,25000002
106021827,25000002
106021828,25000002
106021829,25000002
106021830,25000002
106021831,25000002
106021832,25000002
106021833,25000002
106021834,25000002
106021835,25000002
106021836,25000002
106021837,25000002
106021838,25000002
106021839,25000001
106021840,25000001
106021841,25000002
106021842,25000001
106021843,25000001
106021844,25000001
106021845,25000001
106021846,25000001
106021847,25000001
106021848,25000001
106021849,25000001
106021850,25000001
106021851,25000001
106021852,25000001
106021853,25000001
106021854,25000002
106021855,25000002
106021856,25000002
106021857,25000002
106021858,25000002
106021859,25000002
106021860,25000002
106021861,25000002
106021862,25000002
106021863,25000002
106021864,25000002
106021865,25000002
106021866,25000002
106021867,25000002
106021868,25000002
106021869,25000002
106021870,25000002
106021871,25000002
106021872,25000002
106021873,25000002
106021874,25000002
106021875,25000002
106021876,25000002
106021877,25000002
106021878,25000002
106021879,25000002
106021880,25000002
106021881,25000002
106021882,25000002
106021883,25000002
106021885,25000002
106021886,25000002
106021887,25000002
106021888,25000002
106021889,25000002
106021890,25000002
106021891,25000002
106021892,25000002
106021893,25000002
106021894,25000002
106021895,25000002
106021896,25000002
106021897,25000002
106021898,25000002
106021899,25000002
106021900,25000002
106021901,25000002
106021902,25000002
106021903,25000002
106021904,25000002
106021905,25000002
106021906,25000002
106021907,25000002
106021908,25000002
106021909,25000002
106021910,25000002
106021911,25000002
106021912,25000002
106021913,25000002
106021914,25000002
106021915,25000002
106021916,25000002
106021917,25000002
106021918,25000002
106021919,25000002
106021920,25000002
106021921,25000002
106021922,25000002
106021923,25000002
106021924,25000002
106021925,25000002
106021926,25000002
106021927,25000002
106021928,25000002
106021929,25000002
106021930,25000002
106021931,25000002
106021932,25000002
106021933,25000002
106021934,25000002
106021935,25000002
106021936,25000002
106021937,25000002
106021938,25000002
106021939,25000002
106021940,25000002
106021941,25000002
106021942,25000002
106021943,25000002
106021944,25000002
106021945,25000002
106021946,25000002
106021947,25000002
106021948,25000002
106021949,25000002
106021950,25000002
106021951,25000002
106021952,25000001
106021953,25000002
106021954,25000002
106021955,25000002
106021956,25000002
106021957,25000002
106021958,25000002
106021960,25000002
106021961,25000002
106021962,25000002
106021963,25000002
106021964,25000002
106021965,25000002
106021966,25000002
106021967,25000002
106021968,25000002
106021969,25000002
106021970,25000002
106021971,25000002
106021972,25000002
106021974,25000002
106021975,25000002
106021976,25000002
106021977,25000002
106021979,25000002
106021980,25000002
106021981,25000002
106021982,25000001
106021983,25000002
106021984,25000001
106021985,25000001
106021986,25000001
106021987,25000001
106021988,25000001
106021989,25000001
106021990,25000002
106021991,25000002
106021992,25000001
106021993,25000002
106021994,25000001
106021995,25000001
106021996,25000002
106021997,25000002
106021998,25000002
106021999,25000002
106022000,25000002
106022001,25000002
