,calendar_day,year,month,global_steel_utilization,fed_construction$B,state_local_construction$B,carbon_bar_ship_usa,carbon_bar_ship_canada,structural_ship_usa,structural_ship_canada,ism_manufacturing,ism_non_manufacturing,chicago_scrap$ST,block,IN_tons,PR_ton,SO_order_qty_sales_units,SH_shipment_tons
116,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"L2"" FLT",0.0,0.0,2.448,0.0
117,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"2"" MED FLT",36.995999845,0.0,12.279,24.0
118,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"5 X 3"" ANG",14057.432048977991,0.0,278.44,248.0
119,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"10"" FLT",2503.8910033869975,0.0,132.37249999999997,141.0
120,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"1-2"" LRG FLT",25.0,0.0,0.0,5.0
121,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"8"" ANG",500.7359994429999,0.0,4.752,34.0
122,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"5/8"" SQR",5.046000004,0.0,0.0,3.0
123,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"5"" FLT",13872.261041660002,0.0,296.97800000000007,276.0
124,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"2"" ANG",69.67400071500002,0.0,0.0,0.0
125,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"15"" CHN",289.50599734499997,0.0,23.730000000000004,10.0
126,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"6 X 3-1/2"" ANG",20735.047017465997,-8.0,594.338,585.0
127,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"5"" CHN",3729.616008005001,-21.0,47.706,277.0
128,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"8"" CHN",20149.142973880003,2353.0,633.73,613.0
129,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"8 X 6"" ANG",506.00000995,0.0,0.0,38.0
